structure,message,page_id,slug,parent,web_title,web_subtitle,web_body,whatsapp_title,whatsapp_body,whatsapp_template_slug,variation_title,variation_body,list_title,list_items,sms_title,sms_body,ussd_title,ussd_body,messenger_title,messenger_body,viber_title,viber_body,translation_tag,tags,quick_replies,triggers,next_prompt,buttons,image_link,doc_link,media_link,related_pages,footer,language_code
Menu 1,0,1980,mnch_main,,mnch,,,,,,,,,,,,,,,,,,a4192a58-04fe-4766-9d00-9ec4769ce3d8,,,,,,,,,,,en
Menu 2,0,1982,faqs,,FAQs,,,,,,,,,,,,,,,,,,34f2ee6d-0e17-4b59-899d-e184af5e4863,,,,,,,,,,,en
Menu 3,0,1983,dev-test,,Dev Test,,,,,,,,,,,,,,,,,,058b1a58-34f7-4589-bc79-a0372860ee17,,,,,,,,,,,en
Menu 4,0,3175,main-menu,,Main Menu,,,,,,,,,,,,,,,,,,a0b85075-d01b-46bf-8997-8591e87ba171,,,,,,,,,,,en
Menu 5,0,3722,functional_copy,,Functional copy,,,,,,,,,,,,,,,,,,ed5fde40-3fe7-48d7-9a90-a7952f1c8db8,,,,,,,,,,,en
Sub 5.4.1,1,3739,plat_help_welcome_help_centre_returning,Help centre,Welcome Help Centre returning,,,Welcome Help Centre returning,"*Welcome back to the Help Centre*

This is where you can find:

• Help in a health emergency

• Search MyHealth

• Technical support

👇🏽 What do you need?",,,,,[],,,,,,,,,1cd4b01e-7ec5-481c-9c00-277dab545815,,,,,"[{""type"": ""next_message"", ""title"": ""Emergency help""}, {""type"": ""next_message"", ""title"": ""Search MyHealth""}, {""type"": ""next_message"", ""title"": ""Tech support""}]",,,,,,en
Sub 5.4.2,1,3740,plat_help_welcome_help_centre_first,Help centre,Welcome Help Centre first,,,Welcome Help Centre first,"*Welcome to the [MyHealth] Help Centre*

This is where you can find:

• Help in a health emergency

• Search MyHealth

• Technical support

👇🏽 What do you need?",,,,,[],,,,,,,,,4106827f-dcc8-487d-89e7-25d12ae40421,,,,,"[{""type"": ""next_message"", ""title"": ""Emergency help""}, {""type"": ""next_message"", ""title"": ""Search MyHealth""}, {""type"": ""next_message"", ""title"": ""Tech support""}]",,,,,,en
Sub 5.4.3,1,3741,plat_help_medical_emergency,Help centre,Medical emergency,,,Medical emergency,"If you're in a health emergency, please contact emergency services or go to the nearest health facility immediately. 

👇🏽 What do you want to do?",,,,,[],,,,,,,,,47bac0f0-0178-4047-9e22-c64271ba3590,,,,,"[{""type"": ""next_message"", ""title"": ""Emergency Numbers""}, {""type"": ""next_message"", ""title"": ""Search MyHealth""}, {""type"": ""next_message"", ""title"": ""Talk to health agent""}]",,,,,,en
Sub 5.4.4,1,3742,plat_help_search_myhealth_prompt,Help centre,Search MyHealth prompt,,,Search MyHealth prompt,"Let's find you the information you need.

Just type in what you are looking for and press send.",,,,,[],,,,,,,,,9150038e-1608-410a-9ad9-0d2b9e3c2c7e,,,,,[],,,,,,en
Sub 5.4.5,1,3743,plat_help_technical_issue_prompt,Help centre,Technical issue prompt,,,Technical issue prompt,Please explain the technical issue you're having.,,,,,[],,,,,,,,,c683c3f7-eedd-4542-92f2-68aa0424dfcd,,,,,[],,,,,,en
Sub 5.4.6,1,3744,plat_help_emergency_contact_numbers,Help centre,Emergency contact numbers,,,Emergency contact numbers,"*Emergency contact numbers*

[These are toll free – which means you don't need airtime.]

• [Name/resource]: 
[Telephone 1]

• [Name/resource]
[Telephone 2]

• [Name/resource]: 
[Telephone 3]

You can also speak to a [health agent] on this chat, [Monday - Friday: 9am - 7pm].

👇🏽 What do you want to do?",,,,,[],,,,,,,,,cffa3973-a545-4d5c-8c78-cc98daaf8bf8,,,,,"[{""type"": ""next_message"", ""title"": ""Talk to health agent""}, {""type"": ""next_message"", ""title"": ""Search MyHealth""}, {""type"": ""next_message"", ""title"": ""Go to main menu""}]",,,,,,en
