no,slug,parent,web_title,whatsapp_title,Image,whatsapp_body,footer,ButtonA,ButtonB,ButtonC,ListOption,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,OptionH,OptionI,OptionJ,list_items,ButtonA Goto,ButtonB Goto,ButtonC Goto,ButtonA Type,ButtonB Type,ButtonC Type,buttons,locale
1,mnch_onboarding_error_handling_button,Onboarding,error handling - button,error handling - button,,"I don't understand your reply.

👇🏽 Please try that again and respond by tapping a button.",,,,,,,,,,,,,,,,,,,,,,,,English
2,mnch_onboarding_error_handling_list_message,Onboarding,error handling - list message,error handling - list message,,"I don't understand your reply. Please try that again.

👇🏽 Tap on the button below the message, choose your answer from the list, and send.",,,,,,,,,,,,,,,,,,,,,,,,English
3,mnch_onboarding_error_handling_number_input,Onboarding,error handling - number input,error handling - number input,,"I don't understand your reply.

👇🏽  Please try that again and respond with the number that comes before your answer.",,,,,,,,,,,,,,,,,,,,,,,,English
4,mnch_onboarding_error_handling_undefined,Onboarding,error handling - undefined,error handling - undefined,,"Something doesn't look right.

Please read the previous instruction and try that again.",,,,,,,,,,,,,,,,,,,,,,,,English
5,mnch_onboarding_unrecognised_number,Onboarding,Unrecognised_number,Unrecognised_number,,"Sorry, I didn’t get that – let's try again.

👇🏽 Please reply with a number between {minimum} and {maximum}.",,,,,,,,,,,,,,,,,,,,,,,,English
6,mnch_onboarding_unrecognised_year,Onboarding,Unrecognised_year,Unrecognised_year,,"Sorry, I didn’t get that – let's try again.

👇🏽 Please reply with a specific year, like 2008 or 1998.",,,,,,,,,,,,,,,,,,,,,,,,English
7,mnch_onboarding_unrecognised_list,Onboarding,Unrecognised_list,Unrecognised_list,,"Sorry, I didn’t get that – let’s try again.

👇🏽 To respond, tap the menu button and then select the option from the list that best matches your response.",,,,,,,,,,,,,,,,,,,,,,,,English
8,mnch_onboarding_intent_error,Onboarding,intent_error,intent_error,,"Something doesn't look right. Let's try that again.

👇🏽 What do you want to do? ",,Create a profile,Explore the service,Go to help centre,,,,,,,,,,,,,,,,next_message,next_message,next_message,"[{""type"": ""next_message"",""title"": ""Create a profile"", ""slug"": """"},{""type"":""next_message"",""title"":""Explore the service"",""slug"":""""},{""type"":""next_message"",""title"":""Go to help centre"",""slug"":""""}]",English
9,mnch_onboarding_username_catchall,Onboarding,username_catchall,username_catchall,,"I can *only accept names with letters* – no numbers or symbols.

Let's try this again!

What would you like me to call you?

If you don't want to answer this right now, reply `Skip`",,,,,,,,,,,,,,,,,,,,,,,,English
10,mnch_onboarding_error_integer_01,Onboarding,error_integer_01,error_integer_01,,"I don’t understand.

👇🏽  Please try that again and send with a number.",,,,,,,,,,,,,,,,,,,,,,,,English
