no,slug,parent,web_title,whatsapp_title,Image,whatsapp_body,footer,ButtonA,ButtonB,ButtonC,ListOption,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,OptionH,OptionI,OptionJ,list_items,ButtonA Goto,ButtonB Goto,ButtonC Goto,ButtonA Type,ButtonB Type,ButtonC Type,buttons,locale
1,mnch_onboarding_welcome,Onboarding,Welcome,Welcome,,"*Welcome to [my_health]*

Get free healthcare support for you and those you care for.

On this chatbot, you'll find personalised info, advice, and reminders. 

👇🏽 Let’s get started!",,Get started,Change my language,,,,,,,,,,,,,,mnch_onboarding_languages,mnch_onboarding_languages,,go_to_page,go_to_page,,"[{""type"": ""go_to_page"",""title"": ""Get started"", ""slug"": ""mnch_onboarding_languages""},{""type"":""go_to_page"",""title"":""Change my language"",""slug"":""mnch_onboarding_languages""},{""type"":"""",""title"":"""",""slug"":""""}]",English
2,mnch_onboarding_languages,Onboarding,Languages,Languages,,"*Which language would you prefer?*

👇🏽 Choose from the list below.",,,,,Languages,English,Français,Português,عربي,Español,中国人,,,,,"English,Français,Português,عربي,Español,中国人",,,,,,,,English
3,mnch_onboarding_language_updated,Onboarding,Language_updated,Language_updated,,Your language has been updated to {language_selection}.,,"Ok, thanks",Choose another one,,,,,,,,,,,,,,mnch_onboarding_pp_document,mnch_onboarding_pp_document,,go_to_page,go_to_page,,"[{""type"": ""go_to_page"",""title"": ""Ok, thanks"", ""slug"": ""mnch_onboarding_pp_document""},{""type"":""go_to_page"",""title"":""Choose another one"",""slug"":""mnch_onboarding_pp_document""},{""type"":"""",""title"":"""",""slug"":""""}]",English
4,mnch_onboarding_pp_document,Onboarding,PP_document,PP_document,,"*Your information is safe and won't be shared* 🔒

The information you share is only used to give you personalised advice and information.

Read the privacy policy attached and let me know if you accept it.",,"Yes, I accept ✅","No, I don’t accept",Read a summary,,,,,,,,,,,,,mnch_onboarding_pp_summary,mnch_onboarding_pp_summary,mnch_onboarding_pp_summary,go_to_page,go_to_page,go_to_page,"[{""type"": ""go_to_page"",""title"": ""Yes, I accept ✅"", ""slug"": ""mnch_onboarding_pp_summary""},{""type"":""go_to_page"",""title"":""No, I don’t accept"",""slug"":""mnch_onboarding_pp_summary""},{""type"":""go_to_page"",""title"":""Read a summary"",""slug"":""mnch_onboarding_pp_summary""}]",English
5,mnch_onboarding_pp_summary,Onboarding,PP_summary,PP_summary,,"*What’s in the privacy policy*

*Privacy*
We keep your personal information safe and private.

*Terms and conditions*
This service gives you health information and self-help tools. It is not a replacement for advice from a real-life health worker or doctor, and professionals should still be relied upon for medical concerns.

👇🏽 Do you accept the privacy policy?",,Yes,No,,,,,,,,,,,,,,mnch_onboarding_pp_not_accepted,mnch_onboarding_pp_not_accepted,,go_to_page,go_to_page,,"[{""type"": ""go_to_page"",""title"": ""Yes"", ""slug"": ""mnch_onboarding_pp_not_accepted""},{""type"":""go_to_page"",""title"":""No"",""slug"":""mnch_onboarding_pp_not_accepted""},{""type"":"""",""title"":"""",""slug"":""""}]",English
6,mnch_onboarding_pp_not_accepted,Onboarding,PP_not_accepted,PP_not_accepted,,"In order to use [my_health], you need to accept the privacy policy.

👇🏾 What do you want to do?",,See privacy policy,Another button needed here,,,,,,,,,,,,,,mnch_onboarding_reminder_1,mnch_onboarding_reminder_1,,go_to_page,go_to_page,,"[{""type"": ""go_to_page"",""title"": ""See privacy policy"", ""slug"": ""mnch_onboarding_reminder_1""},{""type"":""go_to_page"",""title"":""Another button needed here"",""slug"":""mnch_onboarding_reminder_1""},{""type"":"""",""title"":"""",""slug"":""""}]",English
7,mnch_onboarding_reminder_1,Onboarding,Reminder_1,Reminder_1,,"Hey – let's finish signing you up!

The sooner you sign up to [my_health], the sooner you can take control of your health journey 💪🏾 

👇🏽 Are you ready to continue?",,"Yes, let’s go! ✅",Remind me tomorrow,No thanks,,,,,,,,,,,,,mnch_onboarding_reminder_no,mnch_onboarding_reminder_no,mnch_onboarding_reminder_no,go_to_page,go_to_page,go_to_page,"[{""type"": ""go_to_page"",""title"": ""Yes, let’s go! ✅"", ""slug"": ""mnch_onboarding_reminder_no""},{""type"":""go_to_page"",""title"":""Remind me tomorrow"",""slug"":""mnch_onboarding_reminder_no""},{""type"":""go_to_page"",""title"":""No thanks"",""slug"":""mnch_onboarding_reminder_no""}]",English
8,mnch_onboarding_reminder_no,Onboarding,Reminder_no,Reminder_no,,"Alright, I'll be here whenever you're ready. 

Continue where you left off at any time by sending in the word `Hi`",,,,,,,,,,,,,,,,,,,,,,,,English
9,mnch_onboarding_reminder_tomorrow,Onboarding,Reminder_tomorrow,Reminder_tomorrow,,"Great! I'll remind you tomorrow 🗓️

Chat soon.",,,,,,,,,,,,,,,,,,,,,,,,English
10,mnch_onboarding_opt_in,Onboarding,Opt_in,Opt_in,,"*Sometimes I'll need to send you important messages – like appointment reminders or urgent health news* 🔔 

You can choose which types messages you want to receive later from your profile. It’s also easy to stop messages at any time.

👇🏽 Can I send you these messages?",,Yes ✅,Decide later,,,,,,,,,,,,,,mnch_onboarding_intent,mnch_onboarding_intent,,go_to_page,go_to_page,,"[{""type"": ""go_to_page"",""title"": ""Yes ✅"", ""slug"": ""mnch_onboarding_intent""},{""type"":""go_to_page"",""title"":""Decide later"",""slug"":""mnch_onboarding_intent""},{""type"":"""",""title"":"""",""slug"":""""}]",English
